Ref,Val,Package,PosX,PosY,Rot,Side
"BT2","Battery_Cell","BatteryHolder_Keystone_3034_1x20mm",-147.620000,-103.640000,0.000000,bottom
"D1","LED","LED_0805_Side",-124.898121,-46.683088,25.000000,bottom
"D2","LED","LED_0805_Side",-141.860000,-42.550000,0.000000,bottom
"D3","LED","LED_0805_Side",-163.720000,-44.550000,-45.000000,bottom
"D4","LED","LED_0805_Side",-165.970000,-63.380000,-90.000000,bottom
"D5","LED","LED_0805_Side",-162.100000,-83.360000,-110.000000,bottom
"R1","15","R_0805_2012Metric",-134.985235,-67.574765,-135.000000,bottom
"R2","15","R_0805_2012Metric",-136.645235,-69.084765,-135.000000,bottom
"R3","15","R_0805_2012Metric",-138.185235,-70.554765,-135.000000,bottom
"R4","15","R_0805_2012Metric",-139.635235,-72.084765,-135.000000,bottom
"R5","15","R_0805_2012Metric",-140.975235,-73.444765,-135.000000,bottom
